0;Victor Pelevin0;970;0@gmail.com;item1@item2@item3@ 23,item4@item5@item6@ 700.5
1;Victor Pelevin1;971;1@gmail.com;item1@item2@item3@ 601.5,item4@item5@item6@ 701.5
2;Victor Pelevin2;972;2@gmail.com;item1@item2@item3@ 602.5,item4@item5@item6@ 702.5
3;Victor Pelevin3;973;3@gmail.com;item1@item2@item3@ 603.5,item4@item5@item6@ 703.5
4;Victor Pelevin4;974;4@gmail.com;item1@item2@item3@ 604.5,item4@item5@item6@ 704.5
5;Victor Pelevin5;975;5@gmail.com;item1@item2@item3@ 605.5,item4@item5@item6@ 705.5
6;Victor Pelevin6;976;6@gmail.com;item1@item2@item3@ 606.5,item4@item5@item6@ 706.5
7;Victor Pelevin7;977;7@gmail.com;item1@item2@item3@ 607.5,item4@item5@item6@ 707.5
8;Victor Pelevin8;978;8@gmail.com;item1@item2@item3@ 608.5,item4@item5@item6@ 708.5
9;Elon Mask9;909;9@gmail.com;item1@item2@item3@ 23,item4@item5@item6@ 700.5
